kozterulet;hosszusag;szelesseg;funkcio
Vadmálna utca;1,8;1,1;WC
Várad utca;3,6;2,7;fürdőszoba
Mata János utca;3,8;2,3;terasz
Erzsébet utca;1;1,3;erkély
Zsombolyai utca;3,8;4;nappali
Szilvásújfalvi utca;5,8;6,9;nappali
Lakatgyár utca;4,3;2;háló
Bacsó Béla utca;1,6;1,2;kamra
Fecske köz;3,1;3,1;konyha
Balaton utca;3,4;2,7;fürdőszoba
Orsolya utca;2;3,7;terasz
Homoródi utca;2,1;2,5;fürdőszoba
Hátszegi utca;3,9;4,7;nappali
Verőszala utca;3,4;3,8;háló
Pilinszky János utca;2,4;3,5;háló
Gomba utca;3,9;4,4;háló
Perczel Mór utca;3,4;2,7;háló
Makó utca;2,9;4,9;fürdőszoba
Arad utca;3,6;3,9;kamra
Mocsáry Lajos utca;3,2;3,4;kamra
Kerekerdő utca;2,1;2,3;fürdőszoba
Kisfenyves utca;3,6;2,7;háló
Gyimes utca;2;2,2;gardrób
Gyékényesi út;4,2;4,3;fürdőszoba
Vásárhelyi Pál utca;3,5;3,3;háló
Vadmálna utca;3,4;4,2;fürdőszoba
Makó utca;2,3;3,4;mosókonyha
Hámfa utca;0,9;1;kamra
Kondoroskert utca;4,1;4,9;fürdőszoba
Őszapó utca;2,9;2,8;háló
Boszorkányfű utca;2,5;3,5;háló
Tinódi Sebestyén tér;2,6;3,2;fürdőszoba
Eszperantó tér;1,3;1,5;erkély
Harasztos köz;4,3;5,8;nappali
Gomba utca;4,7;3,8;háló
Éva utca;2,2;3,5;dolgozószoba
Gyimesi utca;2,4;2,5;terasz
Hajlat utca;3;4,8;háló
Csíz utca;2,5;2,2;fürdőszoba
István út;1;1,5;kamra
Martinka sor;3,1;4;konyha
Tas utca;0,9;0,9;kamra
Úszó utca;3,4;3,2;háló
Hullám utca;3,4;2,3;háló
Gyimesi utca;4;4,3;háló
Csurgó utca;4,9;3,1;háló
Lilla tér;1;0,9;kamra
Földibodza utca;2,3;3,3;háló
Nagyrét utca;2,4;2,2;gardrób
Kard utca;4,1;3,9;háló
Lóding utca;2,2;3,4;konyha
Pincés utca;1;1,1;WC
Körtvélyes utca;2,4;2,3;gardrób
Kalász utca;2,7;2,5;háló
Arató utca;2,6;4,3;háló
Agyagos utca;1,3;1,4;kamra
Felvégi utca;3,1;3,2;háló
Arany János utca;1,8;1,4;erkély
Hatvan utca;3,8;2,2;mosókonyha
Pécsi út;3,3;4,3;fürdőszoba
Völgyalja utca;1,3;1,8;erkély
Kapisztrán út;1,6;2,4;erkély
Nagybotos utca;3,5;2,6;háló
Kard utca;3,9;3,3;háló
Ingovány utca;3,2;3,8;háló
Gyimesi utca;4,5;4;fürdőszoba
Nárcisz köz;2,7;3,6;dolgozószoba
Lévai Béla utca;3,1;2,3;fürdőszoba
Palotás utca;3,5;5,4;konyha
Vág utca;3,2;3,6;dolgozószoba
Balaton utca;4,4;2,4;háló
Hajós Alfréd utca;3,4;3,1;háló
Tímár utca;3,2;2,8;fürdőszoba
Hatvan utca;3;3,7;gardrób
Kormorán utca;2,8;3,7;kamra
Nagyfekete út;3,1;3,3;dolgozószoba
Papzug utca;2,2;3,5;háló
Szilágyság utca;3;3,1;háló
Havasigyopár utca;2,3;4,4;háló
Káka utca;1,2;1,1;WC
Lakatgyár utca;4;4,2;háló
Almafa utca;4,6;2,1;konyha
Síp utca;3;4,5;háló
Dicsőfi utca;2,1;3,4;háló
Sesztina utca;1;0,9;kamra
Vízimolnár utca;4;3,7;háló
Pápai utca;1,3;1,2;kamra
Bürök utca;3,9;2,6;kamra
Küküllő utca;2,1;3,6;terasz
Munkácsy Mihály utca;4,3;2,5;háló
Eszterházy tér;3,8;2,6;háló
Hegedű utca;3,5;2,8;konyha
Kisbotos utca;3,7;2,8;háló
Kard utca;3,5;2,2;mosókonyha
Nagybotos utca;2,3;2,8;fürdőszoba
Kádár utca;3,7;2,2;háló
Gyimes utca;3,5;2,2;fürdőszoba
Dózsa köz;1;0,9;kamra
Mályva utca;3,3;2,8;mosókonyha
Márták dűlő;4,4;4,4;nappali
Vadliba utca;5,3;4,1;nappali
Lant utca;2,1;2,1;fürdőszoba
Malvin utca;1,8;1,7;kamra
Lépesméz utca;2,9;2,3;fürdőszoba
Sajó utca;5,6;6,9;nappali
Tizeshonvéd utca;1,6;3,7;kamra
Jávorka utca;4,2;5,3;nappali
Piroska tér;3,5;4,3;nappali
Szikes utca;2,2;1,6;gardrób
Pinty utca;6,4;5,1;nappali
Nyilassy utca;1,2;1,8;erkély
Aranylile utca;1;0,9;kamra
Boldizsár utca;3,2;3;fürdőszoba
Bulcsú utca;3;1,4;erkély
Pilinszky János utca;3;2,8;háló
Szoboszlói út;4,3;3,6;háló
Mátyás király utca;3,2;3,8;háló
Madárkút utca;6,3;5,7;nappali
Krónikás utca;3,1;2;kamra
Hattyas utca;3,2;4,1;háló
Ipar dűlő;1,7;1,6;WC
Malvin utca;3,4;3,9;dolgozószoba
Rahói utca;2,2;2;erkély
Napfény utca;1;1,2;WC
Palánták dűlő;3,3;3;konyha
Szikigyakor utca;2,1;2,5;háló
Ujjaskosbor utca;1,3;1,2;kamra
Rózsaszéki utca;3;3,3;dolgozószoba
Richter Gedeon utca;3,3;3,3;dolgozószoba
Kincseshegy utca;2,5;2,2;konyha
Bimbó utca;2,3;2,3;háló
Déri tér;3,4;4,1;konyha
Keszi utca;2,2;3,1;mosókonyha
Fő tér;3,1;2,9;háló
Tükrösszív utca;3,9;4,4;háló
Kard utca;2,4;3,2;fürdőszoba
Téglagyár utca;2,5;2,6;fürdőszoba
Vadliba utca;4,1;2,8;háló
Géresi utca;2,9;3,7;háló
Föld utca;2,8;2,7;erkély
Csíz utca;2,2;2,3;háló
Kút utca;2,2;1,5;gardrób
Bárány utca;2,3;2;dolgozószoba
Só utca;2,5;2,7;háló
Péczely utca;2,3;2,9;fürdőszoba
Tüzép köz;2,4;2,9;konyha
Kard utca;3,6;1,6;kamra
Kormorán utca;3;2,9;gardrób
Fűtőház köz;4,8;5,3;nappali
Part út;1,1;2;erkély
Lechner tér;2,5;2,6;erkély
Nagyecsed utca;2,6;4,2;fürdőszoba
Mata János utca;3,6;4,1;háló
Vályogos utca;2,5;2,4;erkély
Fekete István utca;2,1;2;fürdőszoba
Felhő utca;2,9;3,1;háló
Föld utca;3,7;2,4;terasz
Föld utca;2,6;4,7;fürdőszoba
Rózsástelep utca;2,2;3,7;háló
Gorkij utca;6,5;6,5;nappali
Hatvan utca;2,3;2,1;erkély
Úszó utca;3,1;2,5;konyha
Csipkebogyó utca;5,2;4,8;nappali
Tócópart utca;1;1,6;WC
Herke utca;3;2,3;háló
Honvéd utca;1,3;1,3;WC
Thomas Mann utca;2,9;2,5;fürdőszoba
Pék utca;2,8;3,7;dolgozószoba
Öreghegy utca;2,3;2,2;háló
Díszlet utca;3,3;3;konyha
Köteles utca;2,3;3,4;mosókonyha
Gyöngyvessző utca;4,4;3,8;nappali
Baltacin utca;3;2,9;konyha
Ráchegy utca;4,1;2,4;háló
Arany Sándor utca;6,9;4,8;nappali
Hárs utca;3,5;4,7;háló
Cifrakapu utca;2,8;2,1;mosókonyha
Szikigyakor utca;2,8;3,1;háló
Huszár utca;3,6;5,3;konyha
Csereág utca;1,1;1,2;WC
Vadrózsa sor;3,3;4,4;fürdőszoba
Apafi utca;2;3,8;konyha
Völgyalja utca;2,4;2,4;fürdőszoba
Trinitárius utca;3,7;3,4;dolgozószoba
Vadkerti tér;4,5;2,3;fürdőszoba
Ifjúság útja;2,1;3,1;háló
Nyárád utca;2,9;2,3;erkély
Nyárád utca;3;4,5;háló
Rózsamajor köz;2,5;2,6;fürdőszoba
Szentháromság utca;5,6;5,9;konyha
Debreceni út;1,4;1,5;erkély
Hátszegi utca;1,5;1,4;erkély
Kisfaludy Sándor út;3,4;4,2;háló
Lakatgyár utca;1,3;1,2;WC
Lenkei János utca;2,5;2,2;dolgozószoba
Herke utca;2,5;2,7;fürdőszoba
Havasigyopár utca;4,1;3,6;háló
Hatvan utca;4,6;3,4;háló
Máglya sor;3,5;3,5;háló
Déva utca;3,2;2,3;fürdőszoba
Szepesi utca;4,3;3,3;háló
Nagyrét utca;3,7;2,5;háló
Papzug utca;3,5;3,7;konyha
Akácfa utca;4,3;4,1;nappali
Kertész utca;2,6;2,5;erkély
Hegyköz utca;2,9;3,2;dolgozószoba
Tárkony utca;4;5,9;nappali
Ostoros utca;3,9;3,7;kamra
Bacsó Béla utca;1,3;2,1;erkély
Aranyosi utca;2,9;3,6;fürdőszoba
Szikra utca;2,3;1,9;erkély
István út;5,1;5,5;nappali
Ág utca;3,3;2,9;dolgozószoba
Kisvasút sor;4,5;5,2;nappali
Úszó utca;2,5;2,1;fürdőszoba
Gyimesi utca;3,5;3,6;háló
Vadrózsa sor;2,9;4,5;háló
Lehel utca;2,3;3,6;kamra
Leányszállás köz;3,6;5,9;nappali
Turul utca;2,5;1,8;erkély
Vaskapu utca;4,4;5;nappali
Pacsirta köz;4,2;2,6;háló
Szikigyakor utca;2,2;4,1;háló
Nagy-Eged utca;3,6;2,9;dolgozószoba
Baross Gábor utca;3,5;3,8;háló
Szalonka utca;3,1;3,7;háló
Gyöp sor;2,4;2,4;konyha
Tas utca;2;3,9;konyha
Vaszy Viktor tér;3,8;3,7;konyha
Bánki Donát utca;1,4;2,2;erkély
Arany János utca;3,6;2,9;háló
Olasz utca;0,9;1;kamra
Richter Gedeon utca;5,4;5,4;nappali
Mészöly Géza utca;2,2;1,8;gardrób
Hárs utca;5;4,1;konyha
Nagydobos utca;5,9;5,3;nappali
Orsolya utca;5;2,3;fürdőszoba
Palánták dűlő;3,6;3,8;háló
Harcsa utca;2,3;1,8;gardrób
Gyimes utca;2,8;2,4;háló
Kincseshegy utca;2,2;2,7;háló
Fóliás utca;5,2;3,5;konyha
Gomba utca;3,7;3,9;mosókonyha
Petőfi tér;4,2;4;nappali
Vadliba utca;2,9;2,4;kamra
Nyárád utca;4;2,9;dolgozószoba
Mikepércsi út;4,5;5,9;nappali
Tímár utca;1,9;2,1;erkély
Boldizsár utca;4,1;5;nappali
Vályogos utca;3,8;3,1;konyha
Tomori Pál utca;1,9;1,1;WC
8. utca;3,3;2,8;háló
Verőszala utca;2,9;2,9;konyha
Nagyrét utca;2,9;3,4;dolgozószoba
Kékszőlő utca;4,4;4,4;háló
Csurgó utca;4,7;6,7;nappali
Úszó utca;2,6;3,6;háló
Szikigyakor utca;3,3;3,9;fürdőszoba
Kanális utca;2,3;3,6;dolgozószoba
Keszi utca;2,8;2;gardrób
Otthon utca;3,5;3,6;nappali
Hajnalka utca;2,9;2,9;erkély
Géza utca;4,9;3,9;háló
Tank utca;2,5;3,1;háló
Béke utca;4,2;2,2;háló
Vigadó tér;1,5;1;WC
Borbolya utca;4,8;4,7;nappali
Rózsavölgy utca;2,4;3,2;konyha
Ókastély utca;2,8;2,9;konyha
Makó utca;6,5;6,9;nappali
Bánk bán utca;3,4;3,3;háló
Nagy-Eged utca;4,1;3,3;fürdőszoba
Pápai utca;3,4;2,6;háló
Kacagány utca;2,2;2,7;fürdőszoba
Lévai Béla utca;1,6;1,6;erkély
Völgy utca;1,4;2,1;erkély
Basahíd utca;3;2,2;háló
Boglárka utca;2,7;3,7;háló
Tomori Pál utca;5,5;2,8;konyha
Bánki Donát utca;2;2,3;háló
Dévai utca;1,2;1,3;erkély
Martinovics utca;4,1;2,5;háló
Pipóhegy utca;4,7;3,6;háló
Basahalom utca;3;3,5;háló
Kisvasút sor;2,7;2,7;terasz
Kisvasút sor;2,9;2,8;háló
Vértanú utca;4,5;3,1;háló
Cser utca;3,1;3,9;konyha
Bondorhát utca;2,2;2,9;fürdőszoba
Hajlat utca;4,9;3,9;háló
Kisszőlő utca;5,5;4,3;nappali
Kalcit köz;3,5;3,7;háló
Tank utca;3,7;2,7;háló
Felvégi utca;2,7;4,8;konyha
Nyugati sor;2;2,1;fürdőszoba
Martinovics utca;1,2;1,3;WC
Mécsvirág utca;3;3,4;gardrób
Pisztácia utca;3,3;5,8;konyha
Verseci utca;1,2;1,1;WC
Körtöltés utca;2,9;3,8;háló
Pinty utca;3,1;4,4;háló
Mézeskard utca;3,9;2;gardrób
Béke utca;2,5;3,6;háló
Fürtös köz;2,2;3,2;konyha
Szíjártó köz;3,2;4,2;háló
Százados utca;4,2;4;konyha
Bölcsőde utca;4,1;2,1;háló
Bornemissza utca;2,7;3,5;fürdőszoba
Vénusz utca;5,4;4,1;nappali
Dohányos utca;4,2;3,7;nappali
Zöldmező utca;2,5;4,5;fürdőszoba
Vadszőlő utca;3,3;4,2;háló
Mimóza utca;1,3;1;kamra
Madárkút utca;2,8;2,7;kamra
Péchy utca;5,1;5,6;konyha
Tigér utca;6,9;5,9;nappali
Só utca;3,9;5;nappali
Borbála utca;2,3;2,4;dolgozószoba
Átrium köz;1,5;1,5;WC
Tinódi Sebestyén tér;2,5;4,1;háló
Kőporos tér;4,5;3,2;háló
Völgy utca;3,6;3,2;háló
Kisfenyves utca;2,8;2,5;erkély
Mézeskard utca;3,7;4;háló
Kőporos tér;5,9;2,3;konyha
Margitvirág utca;2,8;2,6;fürdőszoba
Hajlat utca;2,6;4,8;háló
Panoráma tér;6,8;6,3;nappali
Géza utca;3,4;3,2;háló
Arany Sándor utca;4,4;4,7;háló
Kétmalom utca;4;3,7;nappali
Basahalom utca;3,6;2,5;háló
Tizeshonvéd utca;3;3,7;háló
Ludányi Antal utca;3,7;2,6;dolgozószoba
Ráchegy utca;1,4;1,3;WC
Tenkes köz;3,7;4;háló
Tükrösszív utca;3,9;4,3;fürdőszoba
Szatymazi utca;2,2;4;háló
Parittya utca;3;4,5;fürdőszoba
Kút utca;3,6;4,2;háló
Nagyecsed utca;4,1;3,4;háló
Felhő utca;3,8;2,3;fürdőszoba
Gyöp sor;3,5;4,3;nappali
Nárcisz köz;4,3;3,6;háló
Guti utca;3,1;3,4;dolgozószoba
Muskátli utca;3,5;4,4;háló
Ispotály utca;3,2;4,4;konyha
Csöndes utca;1;1,9;erkély
Károli Gáspár utca;2;2,3;gardrób
Vajk utca;3,5;2;háló
Mimóza utca;2,7;2,7;erkély
Mészöly Géza utca;3,7;3,8;háló
Unokakert utca;1,7;3,3;kamra
Páfrány utca;1,4;1,3;WC
Fóliás utca;2,1;1,5;kamra
Majdáni sor;3;3,7;konyha
Veresgyűrű utca;3,9;2,9;dolgozószoba
Debreceni út;3,1;2,9;dolgozószoba
Ezüst utca;2,9;2,8;háló
Unokakert utca;2,5;2,6;gardrób
Tábornok utca;3,6;2,5;háló
Kadét utca;3,6;2,5;fürdőszoba
Nagyecsed utca;2,4;3,8;fürdőszoba
Péczely utca;2,2;2,8;konyha
Halasi utca;2,9;2,9;háló
Kertész utca;4,4;4;nappali
Rózsavölgy utca;2,1;2,2;fürdőszoba
Közép fasor;3;2,3;fürdőszoba
Vadrózsa sor;4,8;4,3;háló
Rózsástelep utca;4,1;4,2;nappali
Bóbita utca;4,5;4,6;nappali
Ludányi Antal utca;5,1;6,8;nappali
Bodomi út;3;2,1;háló
Nagyrét utca;1,3;1,3;WC
Dohánykert utca;2,7;4,3;háló
Függetlenség utca;2,3;2,1;gardrób
Ezüst utca;2,1;3,4;háló
Ezüstfa utca;3,7;2,3;fürdőszoba
Bondorhát utca;3,5;3,9;háló
Telep utca;1,7;2,2;gardrób
Rózsástelep utca;2,6;3,6;dolgozószoba
Költő utca;3,1;2,3;terasz
Vásártér sor;6,9;5,4;nappali
Perényi utca;2,3;3,6;konyha
Mata János utca;3,4;4,4;háló
Sástavi út;3,3;3,6;háló
Szérűskerti sor;2,8;4,8;háló
Balzsamfű utca;2,1;2,1;mosókonyha
Védőnő utca;2,6;2,2;fürdőszoba
Vályogos utca;2,5;2,2;erkély
Ingovány utca;4,3;4,2;háló
Bajonett utca;1,3;1,3;WC
Avar köz;1,4;1,3;WC
Bárány utca;3,5;2,2;fürdőszoba
Körtvélyes utca;3,7;3,6;fürdőszoba
Szövetkezeti út;3,4;2,2;fürdőszoba
Védőnő utca;2,6;3,7;konyha
Daru utca;2,4;2,8;fürdőszoba
Szitakötő utca;2,3;4;háló
Nagyszántó utca;2,6;2,3;terasz
Zárda utca;5;2,7;fürdőszoba
Vadkörte utca;1,4;1,3;WC
Máté utca;5,9;4,2;nappali
Szalapart utca;2,2;2,1;konyha
Hortenzia utca;3,6;4,5;háló
Tímár utca;2,4;4;dolgozószoba
Pincés utca;1,3;1,5;WC
Pulz utca;1,9;2,5;gardrób
Olajfa utca;4,5;3,8;háló
Ezüstnyár utca;3;2;háló
Keszeg utca;5,2;4,6;nappali
Iparkamara utca;1,3;1,4;WC
Öreghegyi utca;1,3;1,3;WC
Déri tér;1,4;1,4;WC
József Attila sugárút;3;4,5;háló
Pesti utca;2;3,3;mosókonyha
Nagyhát utca;3,5;2,8;háló
Gyergyó utca;3,5;2,7;dolgozószoba
Görgény utca;1;1,4;WC
Szitás utca;3,7;3,9;kamra
Sarlófű utca;5,7;3,6;nappali
Ókút utca;2,2;2,5;fürdőszoba
Felhő utca;3,7;2,3;háló
Szikigyakor utca;2,8;2,5;dolgozószoba
Vajk utca;3,8;3,1;háló
Nyilassy utca;3,5;2,7;dolgozószoba
Platán utca;3,9;2,4;háló
Hattyas utca;3;4,3;fürdőszoba
Teve utca;3;2,1;kamra
Csertő utca;3,1;2,1;háló
Bartók Béla út;2,5;2,3;háló
Nagy-Eged utca;3,2;2,2;kamra
Kisvölgy utca;2,3;3,6;fürdőszoba
Harcsa utca;2,5;2,6;fürdőszoba
Csúcs utca;3;3,2;gardrób
Toldás köz;4,3;4,1;háló
Apály utca;4;4,5;nappali
Olajfa utca;4,2;4,7;fürdőszoba
Cserép köz;2,7;2,4;háló
Sövény utca;3,1;3;háló
Hegyköz utca;1,2;1,6;kamra
Szoboszlói út;4;2,8;háló
Kölcsey Ferenc tér;3,2;2,8;dolgozószoba
Kisfenyves utca;4,1;4,4;fürdőszoba
Huszár utca;4,1;4;háló
Fácán utca;2;2,8;konyha
Fűtőház köz;1,7;2,2;gardrób
Örökzöld köz;3,8;3,6;dolgozószoba
Ostoros utca;1,7;1,8;kamra
Törő utca;4,5;3,1;konyha
Péczely utca;3,1;3,3;háló
Pilinszky János utca;2;3,2;dolgozószoba
Debreceni út;3,6;3,8;háló
Törő utca;2,1;2,6;dolgozószoba
Törő utca;3,5;3,9;dolgozószoba
Vadliba utca;2,1;3,1;dolgozószoba
Koszorú utca;1,2;1,2;WC
Kard utca;1,7;1,3;WC
Károli Gáspár utca;4;4,2;háló
Rahói utca;3,8;3,3;háló
Rózsaszéki utca;1,3;1,2;WC
Berlini körút;1,4;1,8;WC
Kard utca;2,7;2,1;erkély
Újsor utca;2,3;2,1;fürdőszoba
Cserfa utca;3,1;3,7;háló
Vadkörte utca;1,3;1,8;kamra
Fűzfa utca;2,2;3,6;háló
Hangyás köz;5,5;6,6;nappali
Péchy utca;3,8;2,9;háló
Nagyecsed utca;3,4;3,5;mosókonyha
Vályogos utca;3,5;3,6;háló
Radnóti utca;1,5;1,6;erkély
Kinizsi utca;1,7;1,6;kamra
Gőz utca;4,9;4,4;nappali
Ókút utca;1,2;1,7;erkély
Balzsamfű utca;3,7;3,3;gardrób
Liliomkert utca;3,6;3,7;kamra
Herke utca;2,3;3,9;dolgozószoba
Nagyecsed utca;2,4;3,1;fürdőszoba
Mátyás király utca;2,9;2,2;erkély
Turul utca;2,1;3,6;konyha
Kürt utca;2,1;3,1;háló
Nagyhát utca;2,8;3,9;kamra
Vadszőlő utca;3;4,1;háló
Tenkes köz;1,2;1,4;WC
Tóparti út;2,9;3,1;háló
Damjanich utca;2,4;3,9;háló
Péczely utca;2,9;2,8;fürdőszoba
Iszalag út;3,9;2,5;konyha
Kokárda utca;1;1,2;WC
Knézich Károly utca;4,5;3,1;háló
Erdőstarcsa utca;1,3;1,3;WC
Szikigyakor utca;2,2;3,8;háló
Nyárád utca;6,9;4,4;nappali
Panda tér;3,4;2,3;háló
Harasztos köz;2;1,1;kamra
Kapisztrán út;2,4;3,7;háló
Rézöntő utca;2,9;3,7;dolgozószoba
Körtvélyes utca;2,7;2,3;konyha
Salétrom utca;1,3;1,1;WC
Malvin utca;2,1;2,4;gardrób
Szepesi utca;4,5;3,6;háló
Hatvan utca;1;1;WC
Vándor köz;4,2;3,9;nappali
Merkúr utca;3,1;2,4;konyha
Cséplő utca;3,7;4,2;nappali
Damjanich utca;2,1;2,2;fürdőszoba
Éger utca;3,6;5,2;konyha
Föld utca;1,1;2;WC
Kond utca;3,9;2,1;fürdőszoba
Bartók Béla tér;4,6;3,6;nappali
Debreceni út;3,1;2,6;konyha
Kékszőlő utca;1,6;1,7;kamra
Liliomkert utca;3,4;2,7;dolgozószoba
Bartók Béla tér;1,4;1,1;WC
Cifrakapu utca;1,1;1,6;WC
Szarvas tér;3,5;4,1;konyha
Varsa utca;4,7;3,9;nappali
Basahíd utca;1,9;2,3;erkély
Czibula utca;1,7;3,3;kamra
Ispotály utca;3,3;3,1;háló
Herke utca;1,1;1,5;WC
Törő utca;3,6;4,3;háló
Bodrog utca;3,9;3,5;háló
Védőnő utca;2,1;1,3;erkély
Trafó köz;1,6;1,7;WC
Liliomkert utca;2,3;4,6;konyha
Öreghegy utca;3,3;3,1;konyha
Zöldmező utca;2,8;3,3;konyha
Kecsege utca;3;3;háló
Oltványi utca;2;5;fürdőszoba
Lehel utca;2,9;2,8;dolgozószoba
Ráchegy utca;3,3;3,9;konyha
Csörsz utca;4,9;3,5;nappali
Cser utca;1,4;2;erkély
Gyertyaöntő utca;3,3;2,9;háló
Tank utca;4;3,1;háló
Székhalom köz;3,4;4,1;konyha
Törő utca;2,2;2,3;erkély
Baross utca;1,2;2;WC
Ősz utca;1,6;1,3;erkély
Sziget utca;3,1;2,5;kamra
Eszterházy tér;3,5;2,9;konyha
Bimbó utca;2,6;2,5;fürdőszoba
Harkály utca;4,1;5,1;nappali
Kormorán utca;4,8;2,5;háló
Szoboszlói út;3,6;3,3;mosókonyha
Őszapó utca;1,1;1,7;erkély
Palánták dűlő;2,7;2;fürdőszoba
Zsák utca;4,3;4,7;nappali
Nagy-Eged utca;3,2;4,7;háló
Kard utca;3,2;2,1;fürdőszoba
Kisfaludy Sándor út;1,3;1,3;WC
Szentmihályteleki utca;2,3;3;háló
Szalapart utca;3,1;2,3;háló
Katicavirág utca;5,7;6,6;nappali
Vénusz utca;2,9;3,4;konyha
Május 1. utca;2,1;2,9;háló
Bürök utca;5,8;3;konyha
Gomba utca;5,3;3,8;konyha
Varsa utca;3,4;3,6;háló
Kond utca;4,1;5,5;nappali
Egyetem tér;4,2;3,5;konyha
Széperdő utca;2,5;2,3;háló
Vág utca;1,7;3;kamra
Honvéd utca;2,2;3,7;háló
Kincseshegy utca;1,3;1,2;erkély
Tárnokfű utca;2,8;2,1;fürdőszoba
Pék utca;2,1;2,5;fürdőszoba
Berlini körút;3,1;4,2;háló
Verőszala utca;2,9;2,6;háló
Vájáriskola utca;5,8;4,6;nappali
Mécsvirág utca;2,6;2,3;konyha
Diótörő utca;1,4;1,3;WC
Fonógyári út;2,1;2,6;erkély
Károli Gáspár utca;3;2,7;fürdőszoba
Kincseshegy utca;2,9;3,3;konyha
Limány köz;2,4;3,8;konyha
Nagyfekete út;4,9;3,9;háló
Csörsz utca;2,2;2,5;háló
Kőporos tér;1,9;1,6;WC
Trafó köz;1,4;1,3;WC
Nagy Jenő utca;2,2;4;háló
Csikós utca;3,7;4,2;konyha
Szöcske utca;3,3;3,1;terasz
Dália utca;4;5,8;nappali
Örökzöld köz;0,8;0,8;kamra
Csöndes utca;2,8;3,8;háló
Sándorfalvi út;2,9;2,5;fürdőszoba
Szikra utca;1,3;1,1;kamra
Kokárda utca;3,1;3,5;háló
Liliomkert utca;3,4;4,5;fürdőszoba
Szigony utca;3,3;3,3;dolgozószoba
Szigony utca;1,4;2,6;erkély
Rézöntő utca;3,1;2,5;háló
Szoboszlói út;1,4;2;WC
Nagyszéki út;2,5;2,4;fürdőszoba
Boldizsár utca;1,6;1,3;kamra
Boglárka utca;0,8;0,9;kamra
Pápai utca;3;2,4;háló
Március 15-e utca;4,8;4,2;nappali
Zárda utca;5,8;4,7;nappali
Krónikás utca;2,8;4,6;háló
Patak utca;3,4;2,3;háló
Liget utca;4,7;3,9;nappali
Fogarasi utca;3,9;3,9;dolgozószoba
Bulcsú utca;2,8;3,8;fürdőszoba
Füzes utca;2;2,1;dolgozószoba
Mocsáry Lajos utca;2,5;2,8;erkély
Szíjártó köz;1,7;1,5;kamra
Porzó utca;2,6;2,8;erkély
Balzsamfű utca;5,3;5,5;nappali
József Attila utca;2,2;2,1;háló
Petőfi tér;1,3;1,1;WC
Bartók Béla út;5,8;5;nappali
Küküllői utca;4;2,7;fürdőszoba
Telep utca;3;2,4;konyha
Gyékényesi út;4,5;3,4;háló
Kece utca;2;2,1;mosókonyha
Cserfa utca;1,7;3,1;kamra
Kolónia utca;3,3;3,4;háló
Bem utca;2;4,3;fürdőszoba
Fenyőmag utca;1,9;1,1;WC
Földibodza utca;2,4;2,7;konyha
Mezőhegyi út;1,7;1,4;erkély
Harangos utca;1,9;1,8;kamra
Bocskai utca;4,1;3,9;fürdőszoba
Kartács utca;2,3;2,8;háló
Mókus utca;1;1,1;WC
Szentháromság utca;3;2,3;fürdőszoba
Nagy-Eged utca;3,3;2,3;kamra
Páfrány utca;2,9;2,8;fürdőszoba
Balzsamfű utca;4,9;3,1;fürdőszoba
Pákász utca;2,9;3,9;háló
Péchy utca;3;3,4;mosókonyha
Bartók Béla út;5,5;4,7;nappali
Lenkei János utca;4,1;5,3;nappali
Páfrány utca;1,1;1,5;WC
Bánki Donát utca;4,5;3,7;nappali
Újhelyi köz;2,9;2,2;erkély
Szarvas tér;2,4;3,5;dolgozószoba
Huba köz;5,3;5,9;nappali
Toldás köz;6,9;5,1;nappali
Huszár utca;4,2;3,1;fürdőszoba
Sástavi út;3,6;2,3;fürdőszoba
Margitvirág utca;3,4;3,8;konyha
Kanális utca;3,7;5,7;nappali
Gyulafehérvári utca;4,5;4,4;háló
Hajnalka utca;1,3;1,3;WC
Várad utca;3,9;2,3;fürdőszoba
Föld utca;1,6;3,2;kamra
Lévai Béla utca;4;2,8;háló
Gyékényesi út;4,4;4,8;háló
Tükrösszív utca;6,6;6,9;nappali
Küküllő utca;6,9;5,6;nappali
Hajnalka utca;3,1;3,7;háló
Törökverő utca;2,3;3,8;fürdőszoba
Kölcsey Ferenc tér;3,3;3,2;dolgozószoba
Fenyő utca;6,5;6,2;nappali
Szőlő utca;2,2;2,2;fürdőszoba
Kormorán utca;4,9;6;nappali
Kormorán utca;3,2;3,9;háló
Makó utca;1,1;2;WC
Széna tér;2,3;2,5;erkély
Boszorkánysziget utca;5;5,2;nappali
Szólát utca;4,6;3,7;nappali
Bem utca;4,6;3,5;fürdőszoba
Mocsár utca;2,3;2,7;fürdőszoba
Medok utca;2,9;3,9;háló
Cserfa utca;6,9;4,6;nappali
Jégmadár utca;2,9;2,8;kamra
Veresgyűrű utca;1;0,9;kamra
Boszorkánysziget utca;2,5;2,7;háló
Tükrösszív utca;4,6;6,9;nappali
Átrium köz;3,5;5,1;konyha
Szérűskerti sor;3,7;3,9;konyha
Dáni utca;2,1;3;háló
Bánk bán utca;2,7;2,4;dolgozószoba
Eszperantó tér;4,3;4,8;nappali
Pinty utca;2,6;4;háló
Népkert sor;2,4;2,1;erkély
Közép fasor;2,8;2,6;fürdőszoba
Verőszala utca;3,6;2,8;háló
Zsoldos köz;1,1;1,2;WC
Pacikert utca;2,1;2,1;dolgozószoba
Dorogi utca;4,2;3,5;háló
